Date,regime,portfolio_beta_to_spy,rolling_beta_20,rolling_beta_60
2026-01-12,normal,0.2698308769767395,0.2596204900383311,0.2615753990692161
2026-01-13,normal,0.2698308769767395,0.2596204900383311,0.2615753990692161
2026-01-14,normal,0.2698308769767395,0.2596204900383311,0.2615753990692161
2026-01-15,bull,0.2357962538487114,0.2596204900383311,0.26100815535041566
2026-01-16,normal,0.2698308769767395,0.2596204900383311,0.26100815535041566
2026-01-20,normal,0.2698308769767395,0.2613222211947325,0.26100815535041566
2026-01-21,normal,0.2698308769767395,0.26302395235113385,0.2615753990692161
2026-01-22,normal,0.2698308769767395,0.2647256835075353,0.26214264278801663
2026-01-23,normal,0.2698308769767395,0.26642741466393666,0.2627098865068171
2026-01-26,normal,0.2698308769767395,0.26812914582033814,0.26270988650681704
2026-01-27,normal,0.2698308769767395,0.26812914582033814,0.2627098865068171
2026-01-28,normal,0.2698308769767395,0.2681291458203381,0.2627098865068171
2026-01-29,normal,0.2698308769767395,0.26812914582033814,0.2627098865068171
2026-01-30,normal,0.2698308769767395,0.2681291458203381,0.26270988650681704
2026-02-02,normal,0.2698308769767395,0.26812914582033814,0.2627098865068171
2026-02-03,normal,0.2698308769767395,0.2681291458203381,0.2627098865068171
2026-02-04,normal,0.2698308769767395,0.26812914582033814,0.26270988650681704
2026-02-05,normal,0.2698308769767395,0.2681291458203381,0.26327713022561755
2026-02-06,normal,0.2698308769767395,0.26812914582033814,0.263844373944418
2026-02-09,normal,0.2698308769767395,0.26812914582033814,0.26441161766321847
2026-02-10,normal,0.2698308769767395,0.2681291458203381,0.26441161766321847
2026-02-11,normal,0.2698308769767395,0.26812914582033814,0.26441161766321847
2026-02-12,normal,0.2698308769767395,0.2681291458203381,0.26441161766321847
2026-02-13,normal,0.2698308769767395,0.2698308769767395,0.26441161766321847
2026-02-17,normal,0.2698308769767395,0.2698308769767395,0.26441161766321847
2026-02-18,normal,0.2698308769767395,0.2698308769767395,0.26441161766321847
2026-02-19,normal,0.2698308769767395,0.2698308769767395,0.26529292722633574
2026-02-20,normal,0.2698308769767395,0.2698308769767395,0.26529292722633574
2026-02-23,normal,0.2698308769767395,0.2698308769767395,0.2652929272263358
2026-02-24,normal,0.2698308769767395,0.2698308769767395,0.26529292722633574
2026-02-25,normal,0.2698308769767395,0.2698308769767395,0.26529292722633574
2026-02-26,normal,0.2698308769767395,0.2698308769767395,0.26529292722633574
2026-02-27,normal,0.2698308769767395,0.2698308769767395,0.26529292722633574
2026-03-02,normal,0.2698308769767395,0.2698308769767395,0.26529292722633574
2026-03-03,crisis,0.21695230318970155,0.2671869482873876,0.26441161766321847
2026-03-04,normal,0.2698308769767395,0.26718694828738765,0.26441161766321847
2026-03-05,normal,0.2698308769767395,0.2671869482873876,0.2649788613820189
2026-03-06,normal,0.2698308769767395,0.26718694828738765,0.2649788613820189
2026-03-09,normal,0.2698308769767395,0.2671869482873876,0.2649788613820189
2026-03-10,normal,0.2698308769767395,0.2671869482873876,0.2649788613820189
2026-03-11,normal,0.2698308769767395,0.26718694828738765,0.264978861382019
2026-03-12,crisis,0.21695230318970155,0.2645430195980357,0.2640975518189016
2026-03-13,normal,0.2698308769767395,0.2645430195980357,0.26409755181890165
2026-03-16,normal,0.2698308769767395,0.2645430195980357,0.2646647955377021
2026-03-17,normal,0.2698308769767395,0.2645430195980357,0.2646647955377021
2026-03-18,crisis,0.21695230318970155,0.26189909090868385,0.2643507296933853
2026-03-19,normal,0.2698308769767395,0.2618990909086838,0.26491797341218576
2026-03-20,crisis,0.21695230318970155,0.2592551622193319,0.2646039075678689
2026-03-23,normal,0.2698308769767395,0.25925516221933187,0.26517115128666935
2026-03-24,crisis,0.21695230318970155,0.25661123352998005,0.26485708544235254
2026-03-25,normal,0.2698308769767395,0.25661123352998005,0.2648570854423526
2026-03-26,crisis,0.21695230318970155,0.2539673048406281,0.2639757758792352
2026-03-27,crisis,0.21695230318970155,0.2513233761512762,0.26309446631611794
2026-03-30,normal,0.2698308769767395,0.2513233761512762,0.263094466316118
